#options: cpuid=1173503 frame-threads=1 no-wpp no-pmode no-pme psnr no-ssim log-level=2 bitdepth=8 input-csp=1 fps=60000/1000 input-res=832x480 interlace=0 total-frames=600 level-idc=0 high-tier=1 uhd-bd=0 ref=4 no-allow-non-conformance no-repeat-headers annexb no-aud no-hrd info hash=0 no-temporal-layers open-gop min-keyint=1 keyint=5000 bframes=15 b-adapt=2 b-pyramid bframe-bias=0 rc-lookahead=40 lookahead-slices=0 scenecut=40 no-intra-refresh ctu=64 min-cu-size=8 rect amp max-tu-size=32 tu-inter-depth=3 tu-intra-depth=3 limit-tu=4 rdoq-level=2 dynamic-rd=0.00 no-ssim-rd signhide no-tskip nr-intra=0 nr-inter=0 no-constrained-intra strong-intra-smoothing max-merge=4 limit-refs=1 limit-modes me=3 subme=4 merange=57 temporal-mvp weightp weightb no-analyze-src-pics deblock=0:0 sao no-sao-non-deblock rd=6 no-early-skip rskip no-fast-intra no-tskip-fast no-cu-lossless b-intra rdpenalty=0 psy-rd=0.00 psy-rdoq=0.00 no-rd-refine analysis-reuse-mode=0 no-lossless cbqpoffs=0 crqpoffs=0 rc=abr bitrate=2000 qcomp=0.60 qpstep=4 stats-write=1 stats-read=0 slow-firstpass ipratio=1.40 pbratio=1.30 aq-mode=1 aq-strength=0.00 cutree zone-count=0 no-strict-cbr qg-size=64 no-rc-grain qpmax=69 qpmin=0 no-const-vbv sar=0 overscan=0 videoformat=5 range=0 colorprim=2 transfer=2 colormatrix=2 chromaloc=0 display-window=0 max-cll=0,0 min-luma=0 max-luma=255 log2-max-poc-lsb=8 vui-timing-info vui-hrd-info slices=1 opt-qp-pps opt-ref-list-length-pps no-multi-pass-opt-rps scenecut-bias=0.05 no-opt-cu-delta-qp no-aq-motion no-hdr no-hdr-opt no-dhdr10-opt analysis-reuse-level=5 scale-factor=0 refine-intra=0 refine-inter=0 refine-mv=0 no-limit-sao ctu-info=0 max-tlayer=4
in:0 out:0 type:I q:27.25 q-aq:20.84 q-noVbv:27.25 q-Rceq:1.42 tex:223393 mv:38484 misc:3267 icu:1560.00 pcu:0.00 scu:0.00 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-6.17;
in:16 out:1 type:k q:30.16 q-aq:22.81 q-noVbv:30.16 q-Rceq:1.42 tex:87178 mv:19143 misc:3855 icu:391.75 pcu:1000.00 scu:168.25 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-6.44;
in:8 out:2 type:B q:32.47 q-aq:26.68 q-noVbv:32.47 q-Rceq:1.42 tex:25850 mv:11225 misc:2837 icu:148.00 pcu:856.00 scu:556.00 tlayer:1 pbqpoffset:2.30 pbfactor:1.30 avgQpOffsetCutree:-4.79;
in:4 out:3 type:B q:34.16 q-aq:31.72 q-noVbv:34.16 q-Rceq:1.42 tex:3634 mv:3895 misc:1511 icu:20.50 pcu:217.00 scu:1322.50 tlayer:2 pbqpoffset:4.00 pbfactor:1.59 avgQpOffsetCutree:-3.50;
in:2 out:4 type:B q:34.16 q-aq:33.20 q-noVbv:34.16 q-Rceq:1.42 tex:826 mv:2573 misc:1057 icu:2.75 pcu:247.00 scu:1310.25 tlayer:3 pbqpoffset:4.00 pbfactor:1.59 avgQpOffsetCutree:-1.87;
in:1 out:5 type:b q:37.16 q-aq:37.00 q-noVbv:37.16 q-Rceq:1.42 tex:23 mv:958 misc:507 icu:0.00 pcu:164.25 scu:1395.75 tlayer:4 pbqpoffset:7.00 pbfactor:2.25 avgQpOffsetCutree:0.00;
in:3 out:6 type:b q:37.16 q-aq:37.00 q-noVbv:37.16 q-Rceq:1.42 tex:90 mv:580 misc:458 icu:0.00 pcu:58.50 scu:1501.50 tlayer:4 pbqpoffset:7.00 pbfactor:2.25 avgQpOffsetCutree:0.00;
in:6 out:7 type:B q:34.16 q-aq:33.09 q-noVbv:34.16 q-Rceq:1.42 tex:985 mv:2215 misc:1064 icu:2.75 pcu:166.50 scu:1390.75 tlayer:3 pbqpoffset:4.00 pbfactor:1.59 avgQpOffsetCutree:-1.78;
in:5 out:8 type:b q:37.16 q-aq:37.00 q-noVbv:37.16 q-Rceq:1.42 tex:122 mv:730 misc:532 icu:1.25 pcu:83.50 scu:1475.25 tlayer:4 pbqpoffset:7.00 pbfactor:2.25 avgQpOffsetCutree:0.00;
in:7 out:9 type:b q:37.16 q-aq:37.00 q-noVbv:37.16 q-Rceq:1.42 tex:35 mv:651 misc:538 icu:1.00 pcu:78.00 scu:1481.00 tlayer:4 pbqpoffset:7.00 pbfactor:2.25 avgQpOffsetCutree:0.00;
in:12 out:10 type:B q:34.16 q-aq:31.61 q-noVbv:34.16 q-Rceq:1.42 tex:4209 mv:5149 misc:1794 icu:20.25 pcu:290.50 scu:1249.25 tlayer:2 pbqpoffset:4.00 pbfactor:1.59 avgQpOffsetCutree:-3.42;
in:10 out:11 type:B q:34.16 q-aq:33.00 q-noVbv:34.16 q-Rceq:1.42 tex:1323 mv:2561 misc:1092 icu:1.00 pcu:225.25 scu:1333.75 tlayer:3 pbqpoffset:4.00 pbfactor:1.59 avgQpOffsetCutree:-1.83;
in:9 out:12 type:b q:37.16 q-aq:37.00 q-noVbv:37.16 q-Rceq:1.42 tex:18 mv:744 misc:502 icu:0.00 pcu:91.50 scu:1468.50 tlayer:4 pbqpoffset:7.00 pbfactor:2.25 avgQpOffsetCutree:0.00;
in:11 out:13 type:b q:37.16 q-aq:37.00 q-noVbv:37.16 q-Rceq:1.42 tex:26 mv:847 misc:543 icu:0.25 pcu:102.25 scu:1457.50 tlayer:4 pbqpoffset:7.00 pbfactor:2.25 avgQpOffsetCutree:0.00;
in:14 out:14 type:B q:34.16 q-aq:32.95 q-noVbv:34.16 q-Rceq:1.42 tex:1780 mv:2800 misc:1124 icu:7.50 pcu:250.50 scu:1302.00 tlayer:3 pbqpoffset:4.00 pbfactor:1.59 avgQpOffsetCutree:-1.76;
in:13 out:15 type:b q:37.16 q-aq:37.00 q-noVbv:37.16 q-Rceq:1.42 tex:99 mv:848 misc:589 icu:0.00 pcu:123.50 scu:1436.50 tlayer:4 pbqpoffset:7.00 pbfactor:2.25 avgQpOffsetCutree:0.00;
in:15 out:16 type:b q:37.16 q-aq:37.00 q-noVbv:37.16 q-Rceq:1.42 tex:128 mv:781 misc:571 icu:0.00 pcu:131.00 scu:1429.00 tlayer:4 pbqpoffset:7.00 pbfactor:2.25 avgQpOffsetCutree:0.00;
in:32 out:17 type:k q:26.16 q-aq:20.52 q-noVbv:26.16 q-Rceq:1.42 tex:222194 mv:37528 misc:3350 icu:1443.50 pcu:115.00 scu:1.50 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-5.80;
in:24 out:18 type:B q:29.95 q-aq:24.74 q-noVbv:29.95 q-Rceq:1.42 tex:64543 mv:15687 misc:3362 icu:306.25 pcu:928.25 scu:325.50 tlayer:1 pbqpoffset:1.79 pbfactor:1.23 avgQpOffsetCutree:-4.54;
in:20 out:19 type:B q:32.82 q-aq:29.62 q-noVbv:32.82 q-Rceq:1.42 tex:7248 mv:6766 misc:2130 icu:35.75 pcu:354.25 scu:1170.00 tlayer:2 pbqpoffset:3.65 pbfactor:1.53 avgQpOffsetCutree:-3.25;
in:18 out:20 type:B q:33.32 q-aq:31.89 q-noVbv:33.32 q-Rceq:1.42 tex:1989 mv:3277 misc:1478 icu:4.25 pcu:287.25 scu:1268.50 tlayer:3 pbqpoffset:3.65 pbfactor:1.53 avgQpOffsetCutree:-1.73;
in:17 out:21 type:b q:36.57 q-aq:37.00 q-noVbv:36.57 q-Rceq:1.42 tex:214 mv:850 misc:576 icu:0.25 pcu:84.00 scu:1475.75 tlayer:4 pbqpoffset:6.65 pbfactor:2.16 avgQpOffsetCutree:0.00;
