#options: cpuid=1173503 frame-threads=1 no-wpp no-pmode no-pme psnr no-ssim log-level=2 bitdepth=8 input-csp=1 fps=50000/1000 input-res=832x480 interlace=0 total-frames=500 level-idc=0 high-tier=1 uhd-bd=0 ref=4 no-allow-non-conformance no-repeat-headers annexb no-aud no-hrd info hash=0 no-temporal-layers open-gop min-keyint=1 keyint=5000 bframes=15 b-adapt=2 b-pyramid bframe-bias=0 rc-lookahead=40 lookahead-slices=0 scenecut=40 no-intra-refresh ctu=64 min-cu-size=8 rect amp max-tu-size=32 tu-inter-depth=3 tu-intra-depth=3 limit-tu=4 rdoq-level=2 dynamic-rd=0.00 no-ssim-rd signhide no-tskip nr-intra=0 nr-inter=0 no-constrained-intra strong-intra-smoothing max-merge=4 limit-refs=1 limit-modes me=3 subme=4 merange=57 temporal-mvp weightp weightb no-analyze-src-pics deblock=0:0 sao no-sao-non-deblock rd=6 no-early-skip rskip no-fast-intra no-tskip-fast no-cu-lossless b-intra rdpenalty=0 psy-rd=0.00 psy-rdoq=0.00 no-rd-refine analysis-reuse-mode=0 no-lossless cbqpoffs=0 crqpoffs=0 rc=abr bitrate=2000 qcomp=0.60 qpstep=4 stats-write=1 stats-read=0 slow-firstpass ipratio=1.40 pbratio=1.30 aq-mode=1 aq-strength=0.00 cutree zone-count=0 no-strict-cbr qg-size=64 no-rc-grain qpmax=69 qpmin=0 no-const-vbv sar=0 overscan=0 videoformat=5 range=0 colorprim=2 transfer=2 colormatrix=2 chromaloc=0 display-window=0 max-cll=0,0 min-luma=0 max-luma=255 log2-max-poc-lsb=8 vui-timing-info vui-hrd-info slices=1 opt-qp-pps opt-ref-list-length-pps no-multi-pass-opt-rps scenecut-bias=0.05 no-opt-cu-delta-qp no-aq-motion no-hdr no-hdr-opt no-dhdr10-opt analysis-reuse-level=5 scale-factor=0 refine-intra=0 refine-inter=0 refine-mv=0 no-limit-sao ctu-info=0 max-tlayer=4
in:0 out:0 type:I q:26.31 q-aq:20.36 q-noVbv:26.31 q-Rceq:1.32 tex:250348 mv:36665 misc:2827 icu:1560.00 pcu:0.00 scu:0.00 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-5.89;
in:16 out:1 type:k q:29.22 q-aq:21.59 q-noVbv:29.22 q-Rceq:1.32 tex:115102 mv:20707 misc:3759 icu:504.00 pcu:744.25 scu:311.75 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-6.48;
in:8 out:2 type:B q:31.41 q-aq:25.87 q-noVbv:31.41 q-Rceq:1.32 tex:39243 mv:15624 misc:2733 icu:183.75 pcu:760.00 scu:616.25 tlayer:1 pbqpoffset:2.19 pbfactor:1.29 avgQpOffsetCutree:-4.89;
in:4 out:3 type:B q:33.27 q-aq:29.38 q-noVbv:33.27 q-Rceq:1.32 tex:2673 mv:3818 misc:1357 icu:1.75 pcu:456.00 scu:1102.25 tlayer:2 pbqpoffset:4.05 pbfactor:1.60 avgQpOffsetCutree:-3.70;
in:2 out:4 type:B q:33.27 q-aq:31.64 q-noVbv:33.27 q-Rceq:1.32 tex:921 mv:2600 misc:1047 icu:0.25 pcu:353.00 scu:1206.75 tlayer:3 pbqpoffset:4.05 pbfactor:1.60 avgQpOffsetCutree:-1.79;
in:1 out:5 type:b q:36.27 q-aq:36.00 q-noVbv:36.27 q-Rceq:1.32 tex:8 mv:651 misc:413 icu:0.25 pcu:47.25 scu:1512.50 tlayer:4 pbqpoffset:7.05 pbfactor:2.26 avgQpOffsetCutree:0.00;
in:3 out:6 type:b q:36.27 q-aq:36.00 q-noVbv:36.27 q-Rceq:1.32 tex:50 mv:621 misc:361 icu:0.00 pcu:115.00 scu:1445.00 tlayer:4 pbqpoffset:7.05 pbfactor:2.26 avgQpOffsetCutree:0.00;
in:6 out:7 type:B q:33.27 q-aq:31.44 q-noVbv:33.27 q-Rceq:1.32 tex:284 mv:1418 misc:698 icu:0.00 pcu:222.50 scu:1337.50 tlayer:3 pbqpoffset:4.05 pbfactor:1.60 avgQpOffsetCutree:-1.89;
in:5 out:8 type:b q:36.27 q-aq:36.00 q-noVbv:36.27 q-Rceq:1.32 tex:4 mv:381 misc:271 icu:0.00 pcu:137.00 scu:1423.00 tlayer:4 pbqpoffset:7.05 pbfactor:2.26 avgQpOffsetCutree:0.00;
in:7 out:9 type:b q:36.27 q-aq:36.00 q-noVbv:36.27 q-Rceq:1.32 tex:3 mv:293 misc:264 icu:0.00 pcu:124.00 scu:1436.00 tlayer:4 pbqpoffset:7.05 pbfactor:2.26 avgQpOffsetCutree:0.00;
in:12 out:10 type:B q:32.56 q-aq:28.90 q-noVbv:32.56 q-Rceq:1.32 tex:5264 mv:6122 misc:1886 icu:24.25 pcu:401.50 scu:1134.25 tlayer:2 pbqpoffset:3.34 pbfactor:1.47 avgQpOffsetCutree:-3.38;
