#options: cpuid=1050111 frame-threads=1 no-wpp no-pmode no-pme psnr no-ssim log-level=2 bitdepth=8 input-csp=1 fps=25000/1000 input-res=832x480 interlace=0 total-frames=250 level-idc=0 high-tier=1 uhd-bd=0 ref=4 no-allow-non-conformance no-repeat-headers annexb no-aud no-hrd info hash=0 no-temporal-layers open-gop min-keyint=1 keyint=5000 bframes=15 b-adapt=2 b-pyramid bframe-bias=0 rc-lookahead=40 lookahead-slices=0 scenecut=40 no-intra-refresh ctu=64 min-cu-size=8 rect amp max-tu-size=32 tu-inter-depth=3 tu-intra-depth=3 limit-tu=4 rdoq-level=2 dynamic-rd=0.00 no-ssim-rd signhide no-tskip nr-intra=0 nr-inter=0 no-constrained-intra strong-intra-smoothing max-merge=4 limit-refs=1 limit-modes me=3 subme=4 merange=57 temporal-mvp weightp weightb no-analyze-src-pics deblock=0:0 sao no-sao-non-deblock rd=6 no-early-skip rskip no-fast-intra no-tskip-fast no-cu-lossless b-intra rdpenalty=0 psy-rd=0.00 psy-rdoq=0.00 no-rd-refine analysis-reuse-mode=0 no-lossless cbqpoffs=0 crqpoffs=0 rc=abr bitrate=2000 qcomp=0.60 qpstep=4 stats-write=1 stats-read=0 slow-firstpass ipratio=1.40 pbratio=1.30 aq-mode=1 aq-strength=0.00 cutree zone-count=0 no-strict-cbr qg-size=64 no-rc-grain qpmax=69 qpmin=0 no-const-vbv sar=0 overscan=0 videoformat=5 range=0 colorprim=2 transfer=2 colormatrix=2 chromaloc=0 display-window=0 max-cll=0,0 min-luma=0 max-luma=255 log2-max-poc-lsb=8 vui-timing-info vui-hrd-info slices=1 opt-qp-pps opt-ref-list-length-pps no-multi-pass-opt-rps scenecut-bias=0.05 no-opt-cu-delta-qp no-aq-motion no-hdr no-hdr-opt no-dhdr10-opt analysis-reuse-level=5 scale-factor=0 refine-intra=0 refine-inter=0 refine-mv=0 no-limit-sao ctu-info=0 max-tlayer=4
in:0 out:0 type:I q:19.65 q-aq:10.77 q-noVbv:19.65 q-Rceq:1.00 tex:541473 mv:39587 misc:2844 icu:1560.00 pcu:0.00 scu:0.00 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-7.95;
in:12 out:1 type:k q:22.56 q-aq:13.78 q-noVbv:22.56 q-Rceq:1.00 tex:205036 mv:19024 misc:4764 icu:105.75 pcu:1355.00 scu:99.25 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-8.19;
in:6 out:2 type:B q:24.44 q-aq:18.77 q-noVbv:24.44 q-Rceq:1.00 tex:27037 mv:8069 misc:3366 icu:1.25 pcu:1096.75 scu:462.00 tlayer:1 pbqpoffset:1.87 pbfactor:1.24 avgQpOffsetCutree:-4.34;
in:3 out:3 type:B q:25.08 q-aq:20.79 q-noVbv:25.08 q-Rceq:1.00 tex:1263 mv:2191 misc:1002 icu:0.00 pcu:652.00 scu:908.00 tlayer:2 pbqpoffset:2.51 pbfactor:1.34 avgQpOffsetCutree:-2.81;
in:2 out:4 type:B q:25.18 q-aq:24.79 q-noVbv:25.18 q-Rceq:1.00 tex:87 mv:869 misc:532 icu:0.00 pcu:586.00 scu:974.00 tlayer:3 pbqpoffset:2.62 pbfactor:1.35 avgQpOffsetCutree:-0.85;
in:1 out:5 type:b q:25.57 q-aq:26.00 q-noVbv:25.57 q-Rceq:1.00 tex:1 mv:29 misc:154 icu:0.00 pcu:16.00 scu:1544.00 tlayer:4 pbqpoffset:3.01 pbfactor:1.42 avgQpOffsetCutree:0.00;
in:5 out:6 type:B q:25.39 q-aq:24.99 q-noVbv:25.39 q-Rceq:1.00 tex:112 mv:785 misc:455 icu:0.00 pcu:495.00 scu:1065.00 tlayer:3 pbqpoffset:2.82 pbfactor:1.39 avgQpOffsetCutree:-0.87;
in:4 out:7 type:b q:27.67 q-aq:28.00 q-noVbv:27.67 q-Rceq:1.00 tex:36 mv:608 misc:324 icu:0.00 pcu:402.00 scu:1158.00 tlayer:4 pbqpoffset:5.11 pbfactor:1.80 avgQpOffsetCutree:0.00;
in:9 out:8 type:B q:25.07 q-aq:23.10 q-noVbv:25.07 q-Rceq:1.00 tex:1302 mv:1326 misc:716 icu:0.00 pcu:724.25 scu:835.75 tlayer:2 pbqpoffset:2.51 pbfactor:1.34 avgQpOffsetCutree:-2.28;
in:8 out:9 type:B q:24.97 q-aq:24.98 q-noVbv:24.97 q-Rceq:1.00 tex:1567 mv:2963 misc:1150 icu:0.00 pcu:806.75 scu:753.25 tlayer:3 pbqpoffset:2.41 pbfactor:1.32 avgQpOffsetCutree:-0.81;
in:7 out:10 type:b q:25.66 q-aq:26.00 q-noVbv:25.66 q-Rceq:1.00 tex:3 mv:72 misc:189 icu:0.00 pcu:48.00 scu:1512.00 tlayer:4 pbqpoffset:3.10 pbfactor:1.43 avgQpOffsetCutree:0.00;
in:11 out:11 type:B q:25.48 q-aq:25.25 q-noVbv:25.48 q-Rceq:1.00 tex:270 mv:1154 misc:576 icu:0.00 pcu:632.00 scu:928.00 tlayer:3 pbqpoffset:2.91 pbfactor:1.40 avgQpOffsetCutree:-0.98;
in:10 out:12 type:b q:25.57 q-aq:26.00 q-noVbv:25.57 q-Rceq:1.00 tex:32 mv:703 misc:377 icu:0.00 pcu:448.00 scu:1112.00 tlayer:4 pbqpoffset:3.01 pbfactor:1.42 avgQpOffsetCutree:0.00;
in:25 out:13 type:k q:18.56 q-aq:11.07 q-noVbv:18.56 q-Rceq:1.00 tex:410277 mv:25963 misc:3432 icu:576.50 pcu:976.25 scu:7.25 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-7.34;
in:19 out:14 type:B q:21.90 q-aq:15.73 q-noVbv:21.90 q-Rceq:1.00 tex:64294 mv:10315 misc:4199 icu:2.75 pcu:1090.75 scu:466.50 tlayer:1 pbqpoffset:1.49 pbfactor:1.19 avgQpOffsetCutree:-4.86;
in:16 out:15 type:B q:23.19 q-aq:20.11 q-noVbv:23.19 q-Rceq:1.00 tex:11457 mv:3787 misc:1700 icu:1.75 pcu:588.50 scu:969.75 tlayer:2 pbqpoffset:1.86 pbfactor:1.24 avgQpOffsetCutree:-2.51;
in:14 out:16 type:B q:24.46 q-aq:23.75 q-noVbv:24.46 q-Rceq:1.00 tex:378 mv:400 misc:478 icu:0.00 pcu:190.50 scu:1369.50 tlayer:3 pbqpoffset:2.51 pbfactor:1.34 avgQpOffsetCutree:-1.45;
in:13 out:17 type:b q:25.83 q-aq:26.00 q-noVbv:25.83 q-Rceq:1.00 tex:1 mv:34 misc:181 icu:0.00 pcu:16.00 scu:1544.00 tlayer:4 pbqpoffset:3.57 pbfactor:1.51 avgQpOffsetCutree:0.00;
in:15 out:18 type:b q:24.56 q-aq:25.00 q-noVbv:24.56 q-Rceq:1.00 tex:6 mv:167 misc:275 icu:0.00 pcu:88.00 scu:1472.00 tlayer:4 pbqpoffset:2.92 pbfactor:1.40 avgQpOffsetCutree:0.00;
in:18 out:19 type:B q:23.54 q-aq:22.59 q-noVbv:23.54 q-Rceq:1.00 tex:2725 mv:1603 misc:1224 icu:0.00 pcu:573.00 scu:987.00 tlayer:3 pbqpoffset:2.82 pbfactor:1.39 avgQpOffsetCutree:-1.16;
in:17 out:20 type:b q:24.98 q-aq:25.00 q-noVbv:24.98 q-Rceq:1.00 tex:152 mv:892 misc:500 icu:0.00 pcu:489.00 scu:1071.00 tlayer:4 pbqpoffset:3.96 pbfactor:1.58 avgQpOffsetCutree:0.00;
in:22 out:21 type:B q:22.13 q-aq:19.09 q-noVbv:22.13 q-Rceq:1.00 tex:21324 mv:4997 misc:2575 icu:0.25 pcu:777.25 scu:782.50 tlayer:2 pbqpoffset:2.64 pbfactor:1.36 avgQpOffsetCutree:-2.65;
in:21 out:22 type:B q:22.62 q-aq:22.02 q-noVbv:22.62 q-Rceq:1.00 tex:2069 mv:1935 misc:1052 icu:0.00 pcu:541.50 scu:1018.50 tlayer:3 pbqpoffset:2.83 pbfactor:1.39 avgQpOffsetCutree:-1.04;
in:20 out:23 type:b q:24.07 q-aq:24.00 q-noVbv:24.07 q-Rceq:1.00 tex:1052 mv:1188 misc:760 icu:0.00 pcu:333.00 scu:1227.00 tlayer:4 pbqpoffset:3.97 pbfactor:1.58 avgQpOffsetCutree:0.00;
in:24 out:24 type:B q:20.72 q-aq:20.34 q-noVbv:20.72 q-Rceq:1.00 tex:11268 mv:3334 misc:1734 icu:0.50 pcu:647.25 scu:912.25 tlayer:3 pbqpoffset:1.85 pbfactor:1.24 avgQpOffsetCutree:-0.82;
in:23 out:25 type:b q:24.24 q-aq:24.00 q-noVbv:24.24 q-Rceq:1.00 tex:7 mv:168 misc:201 icu:0.00 pcu:96.00 scu:1464.00 tlayer:4 pbqpoffset:5.06 pbfactor:1.79 avgQpOffsetCutree:0.00;
in:34 out:26 type:k q:15.01 q-aq:6.96 q-noVbv:15.01 q-Rceq:1.00 tex:700971 mv:37939 misc:3194 icu:1036.75 pcu:520.50 scu:2.75 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-8.04;
in:30 out:27 type:B q:17.93 q-aq:14.80 q-noVbv:17.93 q-Rceq:1.00 tex:25643 mv:4395 misc:2482 icu:3.00 pcu:756.75 scu:800.25 tlayer:1 pbqpoffset:1.34 pbfactor:1.17 avgQpOffsetCutree:-2.80;
in:28 out:28 type:B q:20.24 q-aq:17.04 q-noVbv:20.24 q-Rceq:1.00 tex:5359 mv:2047 misc:1042 icu:0.00 pcu:520.50 scu:1039.50 tlayer:2 pbqpoffset:2.86 pbfactor:1.39 avgQpOffsetCutree:-2.81;
in:27 out:29 type:B q:20.44 q-aq:19.49 q-noVbv:20.44 q-Rceq:1.00 tex:3041 mv:1402 misc:781 icu:0.00 pcu:476.50 scu:1083.50 tlayer:3 pbqpoffset:2.66 pbfactor:1.36 avgQpOffsetCutree:-1.67;
in:26 out:30 type:b q:23.61 q-aq:24.00 q-noVbv:23.61 q-Rceq:1.00 tex:208 mv:510 misc:426 icu:0.00 pcu:271.50 scu:1288.50 tlayer:4 pbqpoffset:5.44 pbfactor:1.87 avgQpOffsetCutree:0.00;
in:29 out:31 type:b q:19.71 q-aq:20.00 q-noVbv:19.71 q-Rceq:1.00 tex:120 mv:843 misc:445 icu:0.00 pcu:483.00 scu:1077.00 tlayer:3 pbqpoffset:2.72 pbfactor:1.37 avgQpOffsetCutree:0.00;
in:32 out:32 type:B q:17.14 q-aq:15.86 q-noVbv:17.14 q-Rceq:1.00 tex:23347 mv:4055 misc:2382 icu:0.00 pcu:767.00 scu:793.00 tlayer:2 pbqpoffset:1.34 pbfactor:1.17 avgQpOffsetCutree:-1.45;
in:31 out:33 type:b q:20.17 q-aq:20.00 q-noVbv:20.17 q-Rceq:1.00 tex:613 mv:678 misc:485 icu:0.00 pcu:444.00 scu:1116.00 tlayer:3 pbqpoffset:3.98 pbfactor:1.58 avgQpOffsetCutree:0.00;
in:33 out:34 type:b q:18.70 q-aq:19.00 q-noVbv:18.70 q-Rceq:1.00 tex:459 mv:981 misc:656 icu:0.00 pcu:381.50 scu:1178.50 tlayer:3 pbqpoffset:3.29 pbfactor:1.46 avgQpOffsetCutree:0.00;
in:50 out:35 type:k q:15.60 q-aq:9.12 q-noVbv:15.60 q-Rceq:1.00 tex:407105 mv:48184 misc:3943 icu:352.00 pcu:1181.00 scu:27.00 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-6.81;
