#options: cpuid=1173503 frame-threads=1 no-wpp no-pmode no-pme psnr no-ssim log-level=2 bitdepth=8 input-csp=1 fps=24000/1000 input-res=832x480 interlace=0 total-frames=240 level-idc=0 high-tier=1 uhd-bd=0 ref=4 no-allow-non-conformance no-repeat-headers annexb no-aud no-hrd info hash=0 no-temporal-layers open-gop min-keyint=1 keyint=5000 bframes=15 b-adapt=2 b-pyramid bframe-bias=0 rc-lookahead=40 lookahead-slices=0 scenecut=40 no-intra-refresh ctu=64 min-cu-size=8 rect amp max-tu-size=32 tu-inter-depth=3 tu-intra-depth=3 limit-tu=4 rdoq-level=2 dynamic-rd=0.00 no-ssim-rd signhide no-tskip nr-intra=0 nr-inter=0 no-constrained-intra strong-intra-smoothing max-merge=4 limit-refs=1 limit-modes me=3 subme=4 merange=57 temporal-mvp weightp weightb no-analyze-src-pics deblock=0:0 sao no-sao-non-deblock rd=6 no-early-skip rskip no-fast-intra no-tskip-fast no-cu-lossless b-intra rdpenalty=0 psy-rd=0.00 psy-rdoq=0.00 no-rd-refine analysis-reuse-mode=0 no-lossless cbqpoffs=0 crqpoffs=0 rc=abr bitrate=2000 qcomp=0.60 qpstep=4 stats-write=1 stats-read=0 slow-firstpass ipratio=1.40 pbratio=1.30 aq-mode=1 aq-strength=0.00 cutree zone-count=0 no-strict-cbr qg-size=64 no-rc-grain qpmax=69 qpmin=0 no-const-vbv sar=0 overscan=0 videoformat=5 range=0 colorprim=2 transfer=2 colormatrix=2 chromaloc=0 display-window=0 max-cll=0,0 min-luma=0 max-luma=255 log2-max-poc-lsb=8 vui-timing-info vui-hrd-info slices=1 opt-qp-pps opt-ref-list-length-pps no-multi-pass-opt-rps scenecut-bias=0.05 no-opt-cu-delta-qp no-aq-motion no-hdr no-hdr-opt no-dhdr10-opt analysis-reuse-level=5 scale-factor=0 refine-intra=0 refine-inter=0 refine-mv=0 no-limit-sao ctu-info=0 max-tlayer=4
in:0 out:0 type:I q:19.70 q-aq:12.87 q-noVbv:19.70 q-Rceq:0.98 tex:418362 mv:36887 misc:3111 icu:1560.00 pcu:0.00 scu:0.00 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-6.22;
in:16 out:1 type:k q:22.61 q-aq:15.90 q-noVbv:22.61 q-Rceq:0.98 tex:184307 mv:28955 misc:4442 icu:539.50 pcu:827.75 scu:192.75 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-6.28;
in:8 out:2 type:B q:24.52 q-aq:19.34 q-noVbv:24.52 q-Rceq:0.98 tex:56247 mv:18042 misc:3679 icu:123.00 pcu:956.00 scu:481.00 tlayer:1 pbqpoffset:1.91 pbfactor:1.25 avgQpOffsetCutree:-4.52;
in:4 out:3 type:B q:25.89 q-aq:21.95 q-noVbv:25.89 q-Rceq:0.98 tex:3847 mv:3021 misc:1516 icu:4.75 pcu:256.50 scu:1298.75 tlayer:2 pbqpoffset:3.28 pbfactor:1.46 avgQpOffsetCutree:-3.09;
in:2 out:4 type:B q:26.39 q-aq:25.35 q-noVbv:26.39 q-Rceq:0.98 tex:302 mv:1245 misc:629 icu:0.75 pcu:134.75 scu:1424.50 tlayer:3 pbqpoffset:3.77 pbfactor:1.55 avgQpOffsetCutree:-1.68;
in:1 out:5 type:b q:29.39 q-aq:29.00 q-noVbv:29.39 q-Rceq:0.98 tex:2 mv:218 misc:212 icu:0.00 pcu:56.00 scu:1504.00 tlayer:4 pbqpoffset:6.77 pbfactor:2.19 avgQpOffsetCutree:0.00;
in:3 out:6 type:b q:29.39 q-aq:29.00 q-noVbv:29.39 q-Rceq:0.98 tex:125 mv:233 misc:234 icu:0.00 pcu:67.00 scu:1493.00 tlayer:4 pbqpoffset:6.77 pbfactor:2.19 avgQpOffsetCutree:0.00;
in:6 out:7 type:B q:26.39 q-aq:25.13 q-noVbv:26.39 q-Rceq:0.98 tex:672 mv:1424 misc:760 icu:0.75 pcu:186.50 scu:1372.75 tlayer:3 pbqpoffset:3.77 pbfactor:1.55 avgQpOffsetCutree:-1.68;
in:5 out:8 type:b q:29.39 q-aq:29.00 q-noVbv:29.39 q-Rceq:0.98 tex:4 mv:236 misc:224 icu:0.00 pcu:68.00 scu:1492.00 tlayer:4 pbqpoffset:6.77 pbfactor:2.19 avgQpOffsetCutree:0.00;
in:7 out:9 type:b q:29.39 q-aq:29.00 q-noVbv:29.39 q-Rceq:0.98 tex:4 mv:245 misc:239 icu:0.00 pcu:89.00 scu:1471.00 tlayer:4 pbqpoffset:6.77 pbfactor:2.19 avgQpOffsetCutree:0.00;
in:12 out:10 type:B q:25.63 q-aq:21.94 q-noVbv:25.63 q-Rceq:0.98 tex:6335 mv:4524 misc:1669 icu:16.00 pcu:283.00 scu:1261.00 tlayer:2 pbqpoffset:3.02 pbfactor:1.42 avgQpOffsetCutree:-3.15;
