#options: cpuid=1173503 frame-threads=1 no-wpp no-pmode no-pme psnr no-ssim log-level=2 bitdepth=8 input-csp=1 fps=50000/1000 input-res=768x432 interlace=0 total-frames=500 level-idc=0 high-tier=1 uhd-bd=0 ref=4 no-allow-non-conformance no-repeat-headers annexb no-aud no-hrd info hash=0 no-temporal-layers open-gop min-keyint=1 keyint=5000 bframes=15 b-adapt=2 b-pyramid bframe-bias=0 rc-lookahead=40 lookahead-slices=0 scenecut=40 no-intra-refresh ctu=64 min-cu-size=8 rect amp max-tu-size=32 tu-inter-depth=3 tu-intra-depth=3 limit-tu=4 rdoq-level=2 dynamic-rd=0.00 no-ssim-rd signhide no-tskip nr-intra=0 nr-inter=0 no-constrained-intra strong-intra-smoothing max-merge=4 limit-refs=1 limit-modes me=3 subme=4 merange=57 temporal-mvp weightp weightb no-analyze-src-pics deblock=0:0 sao no-sao-non-deblock rd=6 no-early-skip rskip no-fast-intra no-tskip-fast no-cu-lossless b-intra rdpenalty=0 psy-rd=0.00 psy-rdoq=0.00 no-rd-refine analysis-reuse-mode=0 no-lossless cbqpoffs=0 crqpoffs=0 rc=abr bitrate=2000 qcomp=0.60 qpstep=4 stats-write=1 stats-read=0 slow-firstpass ipratio=1.40 pbratio=1.30 aq-mode=1 aq-strength=0.00 cutree zone-count=0 no-strict-cbr qg-size=64 no-rc-grain qpmax=69 qpmin=0 no-const-vbv sar=0 overscan=0 videoformat=5 range=0 colorprim=2 transfer=2 colormatrix=2 chromaloc=0 display-window=0 max-cll=0,0 min-luma=0 max-luma=255 log2-max-poc-lsb=8 vui-timing-info vui-hrd-info slices=1 opt-qp-pps opt-ref-list-length-pps no-multi-pass-opt-rps scenecut-bias=0.05 no-opt-cu-delta-qp no-aq-motion no-hdr no-hdr-opt no-dhdr10-opt analysis-reuse-level=5 scale-factor=0 refine-intra=0 refine-inter=0 refine-mv=0 no-limit-sao ctu-info=0 max-tlayer=4
in:0 out:0 type:I q:22.40 q-aq:19.47 q-noVbv:22.40 q-Rceq:1.32 tex:874 mv:672 misc:438 icu:1296.00 pcu:0.00 scu:0.00 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-2.28;
in:1 out:1 type:k q:25.31 q-aq:25.00 q-noVbv:25.31 q-Rceq:1.32 tex:0 mv:7 misc:137 icu:0.00 pcu:0.00 scu:1296.00 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-1.30;
in:2 out:2 type:i q:34.37 q-aq:25.06 q-noVbv:34.37 q-Rceq:1.32 tex:330340 mv:46607 misc:1981 icu:1296.00 pcu:0.00 scu:0.00 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-8.72;
in:18 out:3 type:k q:33.28 q-aq:22.87 q-noVbv:33.28 q-Rceq:1.32 tex:363626 mv:24941 misc:2537 icu:366.75 pcu:921.00 scu:8.25 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-8.27;
in:10 out:4 type:B q:37.64 q-aq:30.59 q-noVbv:37.64 q-Rceq:1.32 tex:7391 mv:3032 misc:1897 icu:6.75 pcu:500.50 scu:788.75 tlayer:1 pbqpoffset:4.36 pbfactor:1.65 avgQpOffsetCutree:-5.65;
in:6 out:5 type:B q:37.64 q-aq:34.44 q-noVbv:37.64 q-Rceq:1.32 tex:58 mv:1759 misc:559 icu:0.00 pcu:563.00 scu:733.00 tlayer:2 pbqpoffset:4.36 pbfactor:1.65 avgQpOffsetCutree:-3.43;
in:4 out:6 type:B q:37.64 q-aq:38.00 q-noVbv:37.64 q-Rceq:1.32 tex:8 mv:283 misc:293 icu:0.00 pcu:129.00 scu:1167.00 tlayer:3 pbqpoffset:4.36 pbfactor:1.65 avgQpOffsetCutree:-1.44;
in:3 out:7 type:b q:40.32 q-aq:40.00 q-noVbv:40.32 q-Rceq:1.32 tex:1 mv:35 misc:172 icu:0.00 pcu:20.00 scu:1276.00 tlayer:4 pbqpoffset:7.03 pbfactor:2.25 avgQpOffsetCutree:0.00;
in:5 out:8 type:b q:40.32 q-aq:40.00 q-noVbv:40.32 q-Rceq:1.32 tex:0 mv:129 misc:199 icu:0.00 pcu:113.00 scu:1183.00 tlayer:4 pbqpoffset:7.03 pbfactor:2.25 avgQpOffsetCutree:0.00;
in:8 out:9 type:B q:37.64 q-aq:38.00 q-noVbv:37.64 q-Rceq:1.32 tex:2 mv:294 misc:272 icu:0.00 pcu:128.00 scu:1168.00 tlayer:3 pbqpoffset:4.36 pbfactor:1.65 avgQpOffsetCutree:-1.92;
in:7 out:10 type:b q:40.32 q-aq:40.00 q-noVbv:40.32 q-Rceq:1.32 tex:0 mv:90 misc:182 icu:0.00 pcu:52.00 scu:1244.00 tlayer:4 pbqpoffset:7.03 pbfactor:2.25 avgQpOffsetCutree:0.00;
in:9 out:11 type:b q:40.32 q-aq:40.00 q-noVbv:40.32 q-Rceq:1.32 tex:0 mv:8 misc:168 icu:0.00 pcu:0.00 scu:1296.00 tlayer:4 pbqpoffset:7.03 pbfactor:2.25 avgQpOffsetCutree:0.00;
in:14 out:12 type:B q:36.60 q-aq:31.74 q-noVbv:36.60 q-Rceq:1.32 tex:205 mv:2543 misc:1004 icu:0.00 pcu:676.00 scu:620.00 tlayer:2 pbqpoffset:3.32 pbfactor:1.47 avgQpOffsetCutree:-3.28;
in:12 out:13 type:B q:37.64 q-aq:38.00 q-noVbv:37.64 q-Rceq:1.32 tex:4 mv:1321 misc:507 icu:0.00 pcu:425.00 scu:871.00 tlayer:3 pbqpoffset:4.36 pbfactor:1.65 avgQpOffsetCutree:-2.56;
in:11 out:14 type:b q:40.32 q-aq:40.00 q-noVbv:40.32 q-Rceq:1.32 tex:0 mv:124 misc:180 icu:0.00 pcu:32.00 scu:1264.00 tlayer:4 pbqpoffset:7.03 pbfactor:2.25 avgQpOffsetCutree:0.00;
in:13 out:15 type:b q:40.32 q-aq:40.00 q-noVbv:40.32 q-Rceq:1.32 tex:0 mv:67 misc:181 icu:0.00 pcu:36.00 scu:1260.00 tlayer:4 pbqpoffset:7.03 pbfactor:2.25 avgQpOffsetCutree:0.00;
in:16 out:16 type:B q:37.64 q-aq:38.00 q-noVbv:37.64 q-Rceq:1.32 tex:2 mv:191 misc:231 icu:0.00 pcu:69.00 scu:1227.00 tlayer:3 pbqpoffset:4.36 pbfactor:1.65 avgQpOffsetCutree:-1.80;
in:15 out:17 type:b q:39.57 q-aq:40.00 q-noVbv:39.57 q-Rceq:1.32 tex:1 mv:484 misc:355 icu:0.00 pcu:209.00 scu:1087.00 tlayer:4 pbqpoffset:6.29 pbfactor:2.07 avgQpOffsetCutree:0.00;
in:17 out:18 type:b q:40.32 q-aq:40.00 q-noVbv:40.32 q-Rceq:1.32 tex:0 mv:22 misc:162 icu:0.00 pcu:16.00 scu:1280.00 tlayer:4 pbqpoffset:7.03 pbfactor:2.25 avgQpOffsetCutree:0.00;
in:34 out:19 type:k q:30.27 q-aq:21.73 q-noVbv:30.27 q-Rceq:1.32 tex:388810 mv:30623 misc:2959 icu:455.50 pcu:832.25 scu:8.25 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-7.82;
in:26 out:20 type:B q:31.79 q-aq:23.93 q-noVbv:31.79 q-Rceq:1.32 tex:132424 mv:18935 misc:3441 icu:29.75 pcu:1076.00 scu:190.25 tlayer:1 pbqpoffset:1.51 pbfactor:1.19 avgQpOffsetCutree:-6.07;
in:22 out:21 type:B q:33.15 q-aq:28.69 q-noVbv:33.15 q-Rceq:1.32 tex:6464 mv:5283 misc:1773 icu:0.00 pcu:830.25 scu:465.75 tlayer:2 pbqpoffset:2.88 pbfactor:1.39 avgQpOffsetCutree:-3.59;
