#options: cpuid=1173503 frame-threads=1 no-wpp no-pmode no-pme psnr no-ssim log-level=2 bitdepth=8 input-csp=1 fps=50000/1000 input-res=768x432 interlace=0 total-frames=500 level-idc=0 high-tier=1 uhd-bd=0 ref=4 no-allow-non-conformance no-repeat-headers annexb no-aud no-hrd info hash=0 no-temporal-layers open-gop min-keyint=1 keyint=5000 bframes=15 b-adapt=2 b-pyramid bframe-bias=0 rc-lookahead=40 lookahead-slices=0 scenecut=40 no-intra-refresh ctu=64 min-cu-size=8 rect amp max-tu-size=32 tu-inter-depth=3 tu-intra-depth=3 limit-tu=4 rdoq-level=2 dynamic-rd=0.00 no-ssim-rd signhide no-tskip nr-intra=0 nr-inter=0 no-constrained-intra strong-intra-smoothing max-merge=4 limit-refs=1 limit-modes me=3 subme=4 merange=57 temporal-mvp weightp weightb no-analyze-src-pics deblock=0:0 sao no-sao-non-deblock rd=6 no-early-skip rskip no-fast-intra no-tskip-fast no-cu-lossless b-intra rdpenalty=0 psy-rd=0.00 psy-rdoq=0.00 no-rd-refine analysis-reuse-mode=0 no-lossless cbqpoffs=0 crqpoffs=0 rc=abr bitrate=2000 qcomp=0.60 qpstep=4 stats-write=1 stats-read=0 slow-firstpass ipratio=1.40 pbratio=1.30 aq-mode=1 aq-strength=0.00 cutree zone-count=0 no-strict-cbr qg-size=64 no-rc-grain qpmax=69 qpmin=0 no-const-vbv sar=0 overscan=0 videoformat=5 range=0 colorprim=2 transfer=2 colormatrix=2 chromaloc=0 display-window=0 max-cll=0,0 min-luma=0 max-luma=255 log2-max-poc-lsb=8 vui-timing-info vui-hrd-info slices=1 opt-qp-pps opt-ref-list-length-pps no-multi-pass-opt-rps scenecut-bias=0.05 no-opt-cu-delta-qp no-aq-motion no-hdr no-hdr-opt no-dhdr10-opt analysis-reuse-level=5 scale-factor=0 refine-intra=0 refine-inter=0 refine-mv=0 no-limit-sao ctu-info=0 max-tlayer=4
in:0 out:0 type:I q:22.40 q-aq:16.15 q-noVbv:22.40 q-Rceq:1.32 tex:1218 mv:750 misc:464 icu:1296.00 pcu:0.00 scu:0.00 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-2.84;
in:1 out:1 type:k q:25.31 q-aq:25.00 q-noVbv:25.31 q-Rceq:1.32 tex:0 mv:7 misc:137 icu:0.00 pcu:0.00 scu:1296.00 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-2.10;
in:2 out:2 type:i q:35.09 q-aq:29.01 q-noVbv:35.09 q-Rceq:1.32 tex:369918 mv:45345 misc:1985 icu:1296.00 pcu:0.00 scu:0.00 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-7.05;
in:18 out:3 type:k q:34.00 q-aq:26.68 q-noVbv:34.00 q-Rceq:1.32 tex:367102 mv:26618 misc:2264 icu:824.00 pcu:469.25 scu:2.75 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-7.24;
in:10 out:4 type:B q:37.68 q-aq:30.47 q-noVbv:37.68 q-Rceq:1.32 tex:108290 mv:19958 misc:3312 icu:122.75 pcu:861.50 scu:311.75 tlayer:1 pbqpoffset:3.69 pbfactor:1.53 avgQpOffsetCutree:-5.83;
in:6 out:5 type:B q:39.15 q-aq:34.73 q-noVbv:39.15 q-Rceq:1.32 tex:14977 mv:10240 misc:2007 icu:3.50 pcu:891.75 scu:400.75 tlayer:2 pbqpoffset:5.15 pbfactor:1.81 avgQpOffsetCutree:-3.63;
in:4 out:6 type:B q:39.15 q-aq:37.14 q-noVbv:39.15 q-Rceq:1.32 tex:6747 mv:4310 misc:1231 icu:0.75 pcu:514.50 scu:780.75 tlayer:3 pbqpoffset:5.15 pbfactor:1.81 avgQpOffsetCutree:-2.13;
in:3 out:7 type:b q:42.15 q-aq:42.00 q-noVbv:42.15 q-Rceq:1.32 tex:67 mv:466 misc:307 icu:0.25 pcu:198.25 scu:1097.50 tlayer:4 pbqpoffset:8.15 pbfactor:2.56 avgQpOffsetCutree:0.00;
in:5 out:8 type:b q:42.15 q-aq:42.00 q-noVbv:42.15 q-Rceq:1.32 tex:51 mv:683 misc:362 icu:0.00 pcu:184.00 scu:1112.00 tlayer:4 pbqpoffset:8.15 pbfactor:2.56 avgQpOffsetCutree:0.00;
in:8 out:9 type:B q:39.15 q-aq:37.89 q-noVbv:39.15 q-Rceq:1.32 tex:558 mv:3286 misc:660 icu:0.00 pcu:741.25 scu:554.75 tlayer:3 pbqpoffset:5.15 pbfactor:1.81 avgQpOffsetCutree:-1.18;
in:7 out:10 type:b q:42.15 q-aq:42.00 q-noVbv:42.15 q-Rceq:1.32 tex:69 mv:973 misc:414 icu:0.00 pcu:399.00 scu:897.00 tlayer:4 pbqpoffset:8.15 pbfactor:2.56 avgQpOffsetCutree:0.00;
in:9 out:11 type:b q:42.15 q-aq:42.00 q-noVbv:42.15 q-Rceq:1.32 tex:10 mv:1392 misc:470 icu:0.00 pcu:452.00 scu:844.00 tlayer:4 pbqpoffset:8.15 pbfactor:2.56 avgQpOffsetCutree:0.00;
in:14 out:12 type:B q:39.15 q-aq:35.48 q-noVbv:39.15 q-Rceq:1.32 tex:4016 mv:7103 misc:2145 icu:8.50 pcu:644.75 scu:642.75 tlayer:2 pbqpoffset:5.15 pbfactor:1.81 avgQpOffsetCutree:-3.14;
in:12 out:13 type:B q:39.15 q-aq:38.22 q-noVbv:39.15 q-Rceq:1.32 tex:47 mv:2994 misc:871 icu:0.00 pcu:709.25 scu:586.75 tlayer:3 pbqpoffset:5.15 pbfactor:1.81 avgQpOffsetCutree:-1.83;
in:11 out:14 type:b q:42.15 q-aq:42.00 q-noVbv:42.15 q-Rceq:1.32 tex:3 mv:1275 misc:466 icu:0.00 pcu:501.00 scu:795.00 tlayer:4 pbqpoffset:8.15 pbfactor:2.56 avgQpOffsetCutree:0.00;
in:13 out:15 type:b q:42.15 q-aq:42.00 q-noVbv:42.15 q-Rceq:1.32 tex:108 mv:1629 misc:535 icu:0.00 pcu:562.00 scu:734.00 tlayer:4 pbqpoffset:8.15 pbfactor:2.56 avgQpOffsetCutree:0.00;
in:16 out:16 type:B q:39.15 q-aq:38.95 q-noVbv:39.15 q-Rceq:1.32 tex:7463 mv:4280 misc:1345 icu:1.75 pcu:533.00 scu:761.25 tlayer:3 pbqpoffset:5.15 pbfactor:1.81 avgQpOffsetCutree:-0.91;
in:15 out:17 type:b q:42.15 q-aq:42.00 q-noVbv:42.15 q-Rceq:1.32 tex:505 mv:1694 misc:777 icu:5.00 pcu:512.75 scu:778.25 tlayer:4 pbqpoffset:8.15 pbfactor:2.56 avgQpOffsetCutree:0.00;
in:17 out:18 type:b q:42.15 q-aq:42.00 q-noVbv:42.15 q-Rceq:1.32 tex:2 mv:525 misc:353 icu:0.00 pcu:193.25 scu:1102.75 tlayer:4 pbqpoffset:8.15 pbfactor:2.56 avgQpOffsetCutree:0.00;
in:34 out:19 type:k q:34.19 q-aq:28.10 q-noVbv:34.19 q-Rceq:1.32 tex:283484 mv:25333 misc:2335 icu:784.25 pcu:509.50 scu:2.25 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-7.08;
in:26 out:20 type:B q:37.50 q-aq:30.60 q-noVbv:37.50 q-Rceq:1.32 tex:55281 mv:18717 misc:3938 icu:60.25 pcu:868.75 scu:367.00 tlayer:1 pbqpoffset:3.32 pbfactor:1.47 avgQpOffsetCutree:-5.75;
in:22 out:21 type:B q:38.52 q-aq:34.70 q-noVbv:38.52 q-Rceq:1.32 tex:5160 mv:9014 misc:1842 icu:0.25 pcu:862.75 scu:433.00 tlayer:2 pbqpoffset:4.33 pbfactor:1.65 avgQpOffsetCutree:-3.29;
in:20 out:22 type:B q:38.52 q-aq:36.37 q-noVbv:38.52 q-Rceq:1.32 tex:1739 mv:4096 misc:885 icu:0.50 pcu:672.25 scu:623.25 tlayer:3 pbqpoffset:4.33 pbfactor:1.65 avgQpOffsetCutree:-1.82;
in:19 out:23 type:b q:41.52 q-aq:42.00 q-noVbv:41.52 q-Rceq:1.32 tex:81 mv:1150 misc:433 icu:0.00 pcu:321.00 scu:975.00 tlayer:4 pbqpoffset:7.33 pbfactor:2.33 avgQpOffsetCutree:0.00;
in:21 out:24 type:b q:41.52 q-aq:42.00 q-noVbv:41.52 q-Rceq:1.32 tex:3 mv:1156 misc:521 icu:0.00 pcu:409.75 scu:886.25 tlayer:4 pbqpoffset:7.33 pbfactor:2.33 avgQpOffsetCutree:0.00;
in:24 out:25 type:B q:38.52 q-aq:37.06 q-noVbv:38.52 q-Rceq:1.32 tex:183 mv:4055 misc:962 icu:0.50 pcu:742.50 scu:553.00 tlayer:3 pbqpoffset:4.33 pbfactor:1.65 avgQpOffsetCutree:-1.82;
in:23 out:26 type:b q:41.52 q-aq:42.00 q-noVbv:41.52 q-Rceq:1.32 tex:6 mv:1263 misc:483 icu:0.00 pcu:583.00 scu:713.00 tlayer:4 pbqpoffset:7.33 pbfactor:2.33 avgQpOffsetCutree:0.00;
in:25 out:27 type:b q:41.52 q-aq:42.00 q-noVbv:41.52 q-Rceq:1.32 tex:6 mv:1414 misc:532 icu:0.00 pcu:455.00 scu:841.00 tlayer:4 pbqpoffset:7.33 pbfactor:2.33 avgQpOffsetCutree:0.00;
in:30 out:28 type:B q:38.52 q-aq:34.76 q-noVbv:38.52 q-Rceq:1.32 tex:6586 mv:9178 misc:2772 icu:20.50 pcu:746.25 scu:529.25 tlayer:2 pbqpoffset:4.33 pbfactor:1.65 avgQpOffsetCutree:-3.11;
in:28 out:29 type:B q:38.52 q-aq:37.87 q-noVbv:38.52 q-Rceq:1.32 tex:178 mv:4079 misc:1071 icu:2.00 pcu:808.50 scu:485.50 tlayer:3 pbqpoffset:4.33 pbfactor:1.65 avgQpOffsetCutree:-1.81;
in:27 out:30 type:b q:41.52 q-aq:42.00 q-noVbv:41.52 q-Rceq:1.32 tex:36 mv:1423 misc:517 icu:0.00 pcu:522.00 scu:774.00 tlayer:4 pbqpoffset:7.33 pbfactor:2.33 avgQpOffsetCutree:0.00;
