#options: cpuid=1173503 frame-threads=1 no-wpp no-pmode no-pme psnr no-ssim log-level=2 bitdepth=8 input-csp=1 fps=25000/1000 input-res=768x432 interlace=0 total-frames=250 level-idc=0 high-tier=1 uhd-bd=0 ref=4 no-allow-non-conformance no-repeat-headers annexb no-aud no-hrd info hash=0 no-temporal-layers open-gop min-keyint=1 keyint=5000 bframes=15 b-adapt=2 b-pyramid bframe-bias=0 rc-lookahead=40 lookahead-slices=0 scenecut=40 no-intra-refresh ctu=64 min-cu-size=8 rect amp max-tu-size=32 tu-inter-depth=3 tu-intra-depth=3 limit-tu=4 rdoq-level=2 dynamic-rd=0.00 no-ssim-rd signhide no-tskip nr-intra=0 nr-inter=0 no-constrained-intra strong-intra-smoothing max-merge=4 limit-refs=1 limit-modes me=3 subme=4 merange=57 temporal-mvp weightp weightb no-analyze-src-pics deblock=0:0 sao no-sao-non-deblock rd=6 no-early-skip rskip no-fast-intra no-tskip-fast no-cu-lossless b-intra rdpenalty=0 psy-rd=0.00 psy-rdoq=0.00 no-rd-refine analysis-reuse-mode=0 no-lossless cbqpoffs=0 crqpoffs=0 rc=abr bitrate=2000 qcomp=0.60 qpstep=4 stats-write=1 stats-read=0 slow-firstpass ipratio=1.40 pbratio=1.30 aq-mode=1 aq-strength=0.00 cutree zone-count=0 no-strict-cbr qg-size=64 no-rc-grain qpmax=69 qpmin=0 no-const-vbv sar=0 overscan=0 videoformat=5 range=0 colorprim=2 transfer=2 colormatrix=2 chromaloc=0 display-window=0 max-cll=0,0 min-luma=0 max-luma=255 log2-max-poc-lsb=8 vui-timing-info vui-hrd-info slices=1 opt-qp-pps opt-ref-list-length-pps no-multi-pass-opt-rps scenecut-bias=0.05 no-opt-cu-delta-qp no-aq-motion no-hdr no-hdr-opt no-dhdr10-opt analysis-reuse-level=5 scale-factor=0 refine-intra=0 refine-inter=0 refine-mv=0 no-limit-sao ctu-info=0 max-tlayer=4
in:0 out:0 type:I q:19.93 q-aq:13.65 q-noVbv:19.93 q-Rceq:1.00 tex:209764 mv:29577 misc:2731 icu:1296.00 pcu:0.00 scu:0.00 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-5.50;
in:16 out:1 type:k q:18.85 q-aq:13.17 q-noVbv:18.85 q-Rceq:1.00 tex:226547 mv:30623 misc:2486 icu:1255.50 pcu:39.50 scu:1.00 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-5.65;
in:8 out:2 type:B q:20.58 q-aq:14.95 q-noVbv:20.58 q-Rceq:1.00 tex:159649 mv:28053 misc:3114 icu:718.75 pcu:434.75 scu:142.50 tlayer:1 pbqpoffset:1.74 pbfactor:1.22 avgQpOffsetCutree:-5.06;
in:4 out:3 type:B q:21.10 q-aq:17.54 q-noVbv:21.10 q-Rceq:1.00 tex:72822 mv:24955 misc:3263 icu:159.25 pcu:779.75 scu:357.00 tlayer:2 pbqpoffset:2.25 pbfactor:1.30 avgQpOffsetCutree:-3.21;
in:2 out:4 type:B q:22.45 q-aq:21.15 q-noVbv:22.45 q-Rceq:1.00 tex:23228 mv:17111 misc:2797 icu:24.25 pcu:743.50 scu:528.25 tlayer:3 pbqpoffset:3.60 pbfactor:1.52 avgQpOffsetCutree:-1.59;
in:1 out:5 type:b q:25.45 q-aq:25.21 q-noVbv:25.45 q-Rceq:1.00 tex:3869 mv:7538 misc:1833 icu:6.00 pcu:606.75 scu:683.25 tlayer:4 pbqpoffset:6.60 pbfactor:2.14 avgQpOffsetCutree:0.00;
in:3 out:6 type:b q:25.45 q-aq:25.17 q-noVbv:25.45 q-Rceq:1.00 tex:4119 mv:7200 misc:1713 icu:6.00 pcu:663.00 scu:627.00 tlayer:4 pbqpoffset:6.60 pbfactor:2.14 avgQpOffsetCutree:0.00;
in:6 out:7 type:B q:22.45 q-aq:20.80 q-noVbv:22.45 q-Rceq:1.00 tex:22235 mv:16065 misc:2820 icu:34.25 pcu:745.50 scu:516.25 tlayer:3 pbqpoffset:3.60 pbfactor:1.52 avgQpOffsetCutree:-1.66;
in:5 out:8 type:b q:25.45 q-aq:25.11 q-noVbv:25.45 q-Rceq:1.00 tex:3718 mv:7344 misc:1914 icu:8.50 pcu:657.50 scu:630.00 tlayer:4 pbqpoffset:6.60 pbfactor:2.14 avgQpOffsetCutree:0.00;
in:7 out:9 type:b q:25.45 q-aq:25.23 q-noVbv:25.45 q-Rceq:1.00 tex:3686 mv:7574 misc:1820 icu:4.00 pcu:585.00 scu:707.00 tlayer:4 pbqpoffset:6.60 pbfactor:2.14 avgQpOffsetCutree:0.00;
in:12 out:10 type:B q:20.86 q-aq:16.65 q-noVbv:20.86 q-Rceq:1.00 tex:104026 mv:22876 misc:3210 icu:340.25 pcu:635.00 scu:320.75 tlayer:2 pbqpoffset:2.01 pbfactor:1.26 avgQpOffsetCutree:-3.72;
in:10 out:11 type:B q:22.45 q-aq:20.86 q-noVbv:22.45 q-Rceq:1.00 tex:23979 mv:15794 misc:2891 icu:24.00 pcu:723.25 scu:548.75 tlayer:3 pbqpoffset:3.60 pbfactor:1.52 avgQpOffsetCutree:-1.74;
in:9 out:12 type:b q:25.45 q-aq:25.14 q-noVbv:25.45 q-Rceq:1.00 tex:4340 mv:7405 misc:1759 icu:6.00 pcu:582.00 scu:708.00 tlayer:4 pbqpoffset:6.60 pbfactor:2.14 avgQpOffsetCutree:0.00;
in:11 out:13 type:b q:25.45 q-aq:25.08 q-noVbv:25.45 q-Rceq:1.00 tex:3603 mv:7255 misc:1798 icu:4.50 pcu:622.00 scu:669.50 tlayer:4 pbqpoffset:6.60 pbfactor:2.14 avgQpOffsetCutree:0.00;
in:14 out:14 type:B q:21.97 q-aq:19.83 q-noVbv:21.97 q-Rceq:1.00 tex:39819 mv:14214 misc:3143 icu:98.50 pcu:658.25 scu:539.25 tlayer:3 pbqpoffset:3.12 pbfactor:1.43 avgQpOffsetCutree:-2.08;
in:13 out:15 type:b q:25.45 q-aq:25.10 q-noVbv:25.45 q-Rceq:1.00 tex:3549 mv:6540 misc:1695 icu:1.00 pcu:620.00 scu:675.00 tlayer:4 pbqpoffset:6.60 pbfactor:2.14 avgQpOffsetCutree:0.00;
in:15 out:16 type:b q:25.45 q-aq:25.19 q-noVbv:25.45 q-Rceq:1.00 tex:4382 mv:6011 misc:2023 icu:18.00 pcu:473.00 scu:805.00 tlayer:4 pbqpoffset:6.60 pbfactor:2.14 avgQpOffsetCutree:0.00;
in:32 out:17 type:k q:16.82 q-aq:11.70 q-noVbv:16.82 q-Rceq:1.00 tex:275270 mv:33570 misc:2880 icu:1261.00 pcu:34.75 scu:0.25 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-5.49;
in:24 out:18 type:B q:19.50 q-aq:15.02 q-noVbv:19.50 q-Rceq:1.00 tex:175657 mv:26776 misc:3175 icu:767.50 pcu:324.25 scu:204.25 tlayer:1 pbqpoffset:1.67 pbfactor:1.21 avgQpOffsetCutree:-4.63;
