#options: cpuid=1050111 frame-threads=1 no-wpp no-pmode no-pme psnr no-ssim log-level=2 bitdepth=8 input-csp=1 fps=25000/1000 input-res=768x432 interlace=0 total-frames=250 level-idc=0 high-tier=1 uhd-bd=0 ref=4 no-allow-non-conformance no-repeat-headers annexb no-aud no-hrd info hash=0 no-temporal-layers open-gop min-keyint=1 keyint=5000 bframes=15 b-adapt=2 b-pyramid bframe-bias=0 rc-lookahead=40 lookahead-slices=0 scenecut=40 no-intra-refresh ctu=64 min-cu-size=8 rect amp max-tu-size=32 tu-inter-depth=3 tu-intra-depth=3 limit-tu=4 rdoq-level=2 dynamic-rd=0.00 no-ssim-rd signhide no-tskip nr-intra=0 nr-inter=0 no-constrained-intra strong-intra-smoothing max-merge=4 limit-refs=1 limit-modes me=3 subme=4 merange=57 temporal-mvp weightp weightb no-analyze-src-pics deblock=0:0 sao no-sao-non-deblock rd=6 no-early-skip rskip no-fast-intra no-tskip-fast no-cu-lossless b-intra rdpenalty=0 psy-rd=0.00 psy-rdoq=0.00 no-rd-refine analysis-reuse-mode=0 no-lossless cbqpoffs=0 crqpoffs=0 rc=abr bitrate=2000 qcomp=0.60 qpstep=4 stats-write=1 stats-read=0 slow-firstpass ipratio=1.40 pbratio=1.30 aq-mode=1 aq-strength=0.00 cutree zone-count=0 no-strict-cbr qg-size=64 no-rc-grain qpmax=69 qpmin=0 no-const-vbv sar=0 overscan=0 videoformat=5 range=0 colorprim=2 transfer=2 colormatrix=2 chromaloc=0 display-window=0 max-cll=0,0 min-luma=0 max-luma=255 log2-max-poc-lsb=8 vui-timing-info vui-hrd-info slices=1 opt-qp-pps opt-ref-list-length-pps no-multi-pass-opt-rps scenecut-bias=0.05 no-opt-cu-delta-qp no-aq-motion no-hdr no-hdr-opt no-dhdr10-opt analysis-reuse-level=5 scale-factor=0 refine-intra=0 refine-inter=0 refine-mv=0 no-limit-sao ctu-info=0 max-tlayer=4
in:0 out:0 type:I q:19.72 q-aq:12.88 q-noVbv:19.72 q-Rceq:1.00 tex:313914 mv:43969 misc:2229 icu:1296.00 pcu:0.00 scu:0.00 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-5.95;
in:16 out:1 type:k q:18.63 q-aq:12.71 q-noVbv:18.63 q-Rceq:1.00 tex:335069 mv:45945 misc:2050 icu:1284.50 pcu:11.50 scu:0.00 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-6.42;
in:8 out:2 type:B q:20.42 q-aq:14.71 q-noVbv:20.42 q-Rceq:1.00 tex:287601 mv:42792 misc:2823 icu:780.25 pcu:480.25 scu:35.50 tlayer:1 pbqpoffset:1.78 pbfactor:1.23 avgQpOffsetCutree:-5.33;
in:4 out:3 type:B q:21.86 q-aq:18.19 q-noVbv:21.86 q-Rceq:1.00 tex:73281 mv:31230 misc:4417 icu:63.00 pcu:1015.50 scu:217.50 tlayer:2 pbqpoffset:3.23 pbfactor:1.45 avgQpOffsetCutree:-2.93;
in:2 out:4 type:B q:22.28 q-aq:21.11 q-noVbv:22.28 q-Rceq:1.00 tex:9029 mv:13741 misc:3198 icu:17.50 pcu:919.00 scu:359.50 tlayer:3 pbqpoffset:3.65 pbfactor:1.52 avgQpOffsetCutree:-1.44;
in:1 out:5 type:b q:25.28 q-aq:25.00 q-noVbv:25.28 q-Rceq:1.00 tex:703 mv:4443 misc:1006 icu:1.25 pcu:948.00 scu:346.75 tlayer:4 pbqpoffset:6.65 pbfactor:2.16 avgQpOffsetCutree:0.00;
in:3 out:6 type:b q:25.28 q-aq:25.00 q-noVbv:25.28 q-Rceq:1.00 tex:1779 mv:5859 misc:1346 icu:1.75 pcu:946.00 scu:348.25 tlayer:4 pbqpoffset:6.65 pbfactor:2.16 avgQpOffsetCutree:0.00;
in:6 out:7 type:B q:22.28 q-aq:20.19 q-noVbv:22.28 q-Rceq:1.00 tex:17365 mv:18927 misc:4132 icu:18.25 pcu:918.00 scu:359.75 tlayer:3 pbqpoffset:3.65 pbfactor:1.52 avgQpOffsetCutree:-1.97;
in:5 out:8 type:b q:25.28 q-aq:25.00 q-noVbv:25.28 q-Rceq:1.00 tex:2002 mv:5283 misc:1227 icu:2.25 pcu:909.25 scu:384.50 tlayer:4 pbqpoffset:6.65 pbfactor:2.16 avgQpOffsetCutree:0.00;
in:7 out:9 type:b q:25.28 q-aq:25.00 q-noVbv:25.28 q-Rceq:1.00 tex:1272 mv:5265 misc:927 icu:3.25 pcu:997.75 scu:295.00 tlayer:4 pbqpoffset:6.65 pbfactor:2.16 avgQpOffsetCutree:0.00;
in:12 out:10 type:B q:21.08 q-aq:16.27 q-noVbv:21.08 q-Rceq:1.00 tex:161232 mv:29607 misc:3897 icu:163.75 pcu:1020.75 scu:111.50 tlayer:2 pbqpoffset:2.44 pbfactor:1.33 avgQpOffsetCutree:-3.90;
in:10 out:11 type:B q:22.28 q-aq:20.30 q-noVbv:22.28 q-Rceq:1.00 tex:15511 mv:16982 misc:3523 icu:12.75 pcu:997.75 scu:285.50 tlayer:3 pbqpoffset:3.65 pbfactor:1.52 avgQpOffsetCutree:-1.88;
in:9 out:12 type:b q:25.28 q-aq:25.00 q-noVbv:25.28 q-Rceq:1.00 tex:2045 mv:5172 misc:1167 icu:2.50 pcu:919.50 scu:374.00 tlayer:4 pbqpoffset:6.65 pbfactor:2.16 avgQpOffsetCutree:0.00;
in:11 out:13 type:b q:25.28 q-aq:25.00 q-noVbv:25.28 q-Rceq:1.00 tex:1382 mv:4808 misc:1002 icu:2.50 pcu:929.00 scu:364.50 tlayer:4 pbqpoffset:6.65 pbfactor:2.16 avgQpOffsetCutree:0.00;
in:14 out:14 type:B q:21.70 q-aq:18.68 q-noVbv:21.70 q-Rceq:1.00 tex:90528 mv:16289 misc:4159 icu:69.25 pcu:1063.00 scu:163.75 tlayer:3 pbqpoffset:3.06 pbfactor:1.42 avgQpOffsetCutree:-2.44;
in:13 out:15 type:b q:25.28 q-aq:25.00 q-noVbv:25.28 q-Rceq:1.00 tex:1612 mv:4932 misc:1200 icu:2.75 pcu:960.25 scu:333.00 tlayer:4 pbqpoffset:6.65 pbfactor:2.16 avgQpOffsetCutree:0.00;
in:15 out:16 type:b q:25.28 q-aq:25.00 q-noVbv:25.28 q-Rceq:1.00 tex:2080 mv:4723 misc:1453 icu:3.50 pcu:948.25 scu:344.25 tlayer:4 pbqpoffset:6.65 pbfactor:2.16 avgQpOffsetCutree:0.00;
in:32 out:17 type:k q:19.13 q-aq:13.33 q-noVbv:19.13 q-Rceq:1.00 tex:342295 mv:44970 misc:2151 icu:1268.50 pcu:25.25 scu:2.25 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-6.59;
