#options: cpuid=1050111 frame-threads=1 no-wpp no-pmode no-pme psnr no-ssim log-level=2 bitdepth=8 input-csp=1 fps=25000/1000 input-res=768x432 interlace=0 total-frames=250 level-idc=0 high-tier=1 uhd-bd=0 ref=4 no-allow-non-conformance no-repeat-headers annexb no-aud no-hrd info hash=0 no-temporal-layers open-gop min-keyint=1 keyint=5000 bframes=15 b-adapt=2 b-pyramid bframe-bias=0 rc-lookahead=40 lookahead-slices=0 scenecut=40 no-intra-refresh ctu=64 min-cu-size=8 rect amp max-tu-size=32 tu-inter-depth=3 tu-intra-depth=3 limit-tu=4 rdoq-level=2 dynamic-rd=0.00 no-ssim-rd signhide no-tskip nr-intra=0 nr-inter=0 no-constrained-intra strong-intra-smoothing max-merge=4 limit-refs=1 limit-modes me=3 subme=4 merange=57 temporal-mvp weightp weightb no-analyze-src-pics deblock=0:0 sao no-sao-non-deblock rd=6 no-early-skip rskip no-fast-intra no-tskip-fast no-cu-lossless b-intra rdpenalty=0 psy-rd=0.00 psy-rdoq=0.00 no-rd-refine analysis-reuse-mode=0 no-lossless cbqpoffs=0 crqpoffs=0 rc=abr bitrate=2000 qcomp=0.60 qpstep=4 stats-write=1 stats-read=0 slow-firstpass ipratio=1.40 pbratio=1.30 aq-mode=1 aq-strength=0.00 cutree zone-count=0 no-strict-cbr qg-size=64 no-rc-grain qpmax=69 qpmin=0 no-const-vbv sar=0 overscan=0 videoformat=5 range=0 colorprim=2 transfer=2 colormatrix=2 chromaloc=0 display-window=0 max-cll=0,0 min-luma=0 max-luma=255 log2-max-poc-lsb=8 vui-timing-info vui-hrd-info slices=1 opt-qp-pps opt-ref-list-length-pps no-multi-pass-opt-rps scenecut-bias=0.05 no-opt-cu-delta-qp no-aq-motion no-hdr no-hdr-opt no-dhdr10-opt analysis-reuse-level=5 scale-factor=0 refine-intra=0 refine-inter=0 refine-mv=0 no-limit-sao ctu-info=0 max-tlayer=4
in:0 out:0 type:I q:24.01 q-aq:20.49 q-noVbv:24.01 q-Rceq:1.00 tex:326935 mv:39817 misc:2440 icu:1296.00 pcu:0.00 scu:0.00 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-4.76;
in:16 out:1 type:k q:26.92 q-aq:24.15 q-noVbv:26.92 q-Rceq:1.00 tex:191815 mv:30420 misc:2149 icu:1286.00 pcu:9.50 scu:0.50 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-4.57;
in:8 out:2 type:B q:29.97 q-aq:25.63 q-noVbv:29.97 q-Rceq:1.00 tex:131386 mv:23836 misc:2842 icu:625.00 pcu:656.75 scu:14.25 tlayer:1 pbqpoffset:3.04 pbfactor:1.42 avgQpOffsetCutree:-4.94;
in:4 out:3 type:B q:30.92 q-aq:27.67 q-noVbv:30.92 q-Rceq:1.00 tex:45412 mv:22162 misc:3514 icu:167.25 pcu:899.00 scu:229.75 tlayer:2 pbqpoffset:3.99 pbfactor:1.59 avgQpOffsetCutree:-3.05;
in:2 out:4 type:B q:31.83 q-aq:30.17 q-noVbv:31.83 q-Rceq:1.00 tex:16336 mv:16033 misc:3095 icu:47.25 pcu:783.00 scu:465.75 tlayer:3 pbqpoffset:4.91 pbfactor:1.76 avgQpOffsetCutree:-1.80;
in:1 out:5 type:b q:34.83 q-aq:35.00 q-noVbv:34.83 q-Rceq:1.00 tex:3349 mv:6832 misc:1819 icu:4.00 pcu:597.25 scu:694.75 tlayer:4 pbqpoffset:7.91 pbfactor:2.49 avgQpOffsetCutree:0.00;
in:3 out:6 type:b q:34.83 q-aq:35.00 q-noVbv:34.83 q-Rceq:1.00 tex:2505 mv:7241 misc:1862 icu:10.50 pcu:670.00 scu:615.50 tlayer:4 pbqpoffset:7.91 pbfactor:2.49 avgQpOffsetCutree:0.00;
in:6 out:7 type:B q:31.83 q-aq:30.26 q-noVbv:31.83 q-Rceq:1.00 tex:16917 mv:15033 misc:3082 icu:71.50 pcu:846.00 scu:378.50 tlayer:3 pbqpoffset:4.91 pbfactor:1.76 avgQpOffsetCutree:-1.73;
in:5 out:8 type:b q:34.83 q-aq:35.00 q-noVbv:34.83 q-Rceq:1.00 tex:3435 mv:6927 misc:1782 icu:20.75 pcu:671.50 scu:603.75 tlayer:4 pbqpoffset:7.91 pbfactor:2.49 avgQpOffsetCutree:0.00;
in:7 out:9 type:b q:34.83 q-aq:35.00 q-noVbv:34.83 q-Rceq:1.00 tex:3068 mv:6530 misc:1818 icu:19.75 pcu:696.50 scu:579.75 tlayer:4 pbqpoffset:7.91 pbfactor:2.49 avgQpOffsetCutree:0.00;
in:12 out:10 type:B q:30.44 q-aq:26.12 q-noVbv:30.44 q-Rceq:1.00 tex:71196 mv:19639 misc:3581 icu:302.00 pcu:868.25 scu:125.75 tlayer:2 pbqpoffset:3.52 pbfactor:1.50 avgQpOffsetCutree:-4.01;
in:10 out:11 type:B q:31.83 q-aq:30.46 q-noVbv:31.83 q-Rceq:1.00 tex:11045 mv:14152 misc:2843 icu:38.00 pcu:783.25 scu:474.75 tlayer:3 pbqpoffset:4.91 pbfactor:1.76 avgQpOffsetCutree:-1.55;
in:9 out:12 type:b q:34.83 q-aq:35.00 q-noVbv:34.83 q-Rceq:1.00 tex:3067 mv:6356 misc:1729 icu:8.50 pcu:648.25 scu:639.25 tlayer:4 pbqpoffset:7.91 pbfactor:2.49 avgQpOffsetCutree:0.00;
in:11 out:13 type:b q:34.83 q-aq:35.00 q-noVbv:34.83 q-Rceq:1.00 tex:874 mv:5389 misc:1433 icu:3.50 pcu:599.00 scu:693.50 tlayer:4 pbqpoffset:7.91 pbfactor:2.49 avgQpOffsetCutree:0.00;
in:14 out:14 type:B q:31.83 q-aq:29.58 q-noVbv:31.83 q-Rceq:1.00 tex:11756 mv:10709 misc:3015 icu:85.75 pcu:689.75 scu:520.50 tlayer:3 pbqpoffset:4.91 pbfactor:1.76 avgQpOffsetCutree:-2.24;
in:13 out:15 type:b q:34.83 q-aq:35.00 q-noVbv:34.83 q-Rceq:1.00 tex:255 mv:3978 misc:1079 icu:1.25 pcu:629.50 scu:665.25 tlayer:4 pbqpoffset:7.91 pbfactor:2.49 avgQpOffsetCutree:0.00;
in:15 out:16 type:b q:34.83 q-aq:35.00 q-noVbv:34.83 q-Rceq:1.00 tex:744 mv:3197 misc:1483 icu:52.25 pcu:337.50 scu:906.25 tlayer:4 pbqpoffset:7.91 pbfactor:2.49 avgQpOffsetCutree:0.00;
in:32 out:17 type:k q:23.39 q-aq:20.06 q-noVbv:23.39 q-Rceq:1.00 tex:258471 mv:29751 misc:2426 icu:1289.75 pcu:6.25 scu:0.00 tlayer:0 pbqpoffset:0.00 pbfactor:1.00 avgQpOffsetCutree:-4.95;
in:24 out:18 type:B q:27.80 q-aq:24.08 q-noVbv:27.80 q-Rceq:1.00 tex:152459 mv:23290 misc:2859 icu:708.25 pcu:569.25 scu:18.50 tlayer:1 pbqpoffset:2.64 pbfactor:1.36 avgQpOffsetCutree:-4.61;
in:20 out:19 type:B q:29.25 q-aq:26.03 q-noVbv:29.25 q-Rceq:1.00 tex:56093 mv:23745 misc:3770 icu:196.50 pcu:870.75 scu:228.75 tlayer:2 pbqpoffset:3.21 pbfactor:1.45 avgQpOffsetCutree:-3.07;
in:18 out:20 type:B q:30.99 q-aq:29.44 q-noVbv:30.99 q-Rceq:1.00 tex:16767 mv:15507 misc:3014 icu:37.75 pcu:877.75 scu:380.50 tlayer:3 pbqpoffset:4.50 pbfactor:1.68 avgQpOffsetCutree:-1.72;
in:17 out:21 type:b q:34.21 q-aq:34.00 q-noVbv:34.21 q-Rceq:1.00 tex:4749 mv:7086 misc:1845 icu:5.00 pcu:710.25 scu:580.75 tlayer:4 pbqpoffset:7.50 pbfactor:2.38 avgQpOffsetCutree:0.00;
in:19 out:22 type:b q:33.77 q-aq:34.00 q-noVbv:33.77 q-Rceq:1.00 tex:3387 mv:7322 misc:1875 icu:6.25 pcu:667.00 scu:622.75 tlayer:4 pbqpoffset:7.50 pbfactor:2.38 avgQpOffsetCutree:0.00;
in:22 out:23 type:B q:30.10 q-aq:28.83 q-noVbv:30.10 q-Rceq:1.00 tex:18764 mv:16406 misc:3454 icu:53.25 pcu:792.50 scu:450.25 tlayer:3 pbqpoffset:4.50 pbfactor:1.68 avgQpOffsetCutree:-1.56;
in:21 out:24 type:b q:33.32 q-aq:33.03 q-noVbv:33.32 q-Rceq:1.00 tex:4336 mv:8325 misc:2003 icu:5.75 pcu:724.75 scu:565.50 tlayer:4 pbqpoffset:7.50 pbfactor:2.38 avgQpOffsetCutree:0.00;
in:23 out:25 type:b q:32.88 q-aq:33.00 q-noVbv:32.88 q-Rceq:1.00 tex:3911 mv:8466 misc:2007 icu:7.75 pcu:720.00 scu:568.25 tlayer:4 pbqpoffset:7.50 pbfactor:2.38 avgQpOffsetCutree:0.00;
in:28 out:26 type:B q:26.91 q-aq:23.21 q-noVbv:26.91 q-Rceq:1.00 tex:125186 mv:25366 misc:3160 icu:445.25 pcu:812.25 scu:38.50 tlayer:2 pbqpoffset:2.64 pbfactor:1.36 avgQpOffsetCutree:-3.74;
in:26 out:27 type:B q:29.22 q-aq:27.85 q-noVbv:29.22 q-Rceq:1.00 tex:22568 mv:19377 misc:3423 icu:73.75 pcu:869.75 scu:352.50 tlayer:3 pbqpoffset:4.50 pbfactor:1.68 avgQpOffsetCutree:-1.59;
